name	read_id	strand	align_score	neg_log_likelihood	subset_likelihood	repeat_likelihood	repeat_start	repeat_end	align_start	align_end	counts	freq	cluster_assignments	outlier	peak_calling_method
CGG_mouse3	0ff1f68d-a5b2-433f-9ed9-d06d6e5f25d6	forward	120	-1317.131	-73.57100000000003	-25.68699999999989	2840	2902	2691	3048	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	0e160ee3-b2c4-4780-b16c-589f1d2842e0	forward	120	-1361.684	-119.56399999999996	-52.10299999999995	2856	2918	2707	3064	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	f11b64bf-5912-49cf-8b7b-36e9a2f62719	reverse	120	-1328.084	-87.51299999999992	-25.38900000000001	3559	3621	3411	3772	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	111ee607-a196-42b9-8e16-df04c3c07d5e	reverse	120	-1337.133	-96.562	-48.27700000000005	3565	3633	3414	3782	22.0	19		True	kde_throw_outliers
CGG_mouse3	416fbba1-1b7c-4840-bf58-ac1f0c5a21ed	forward	120	-1292.397	-48.19799999999998	-24.948999999999955	2853	2912	2704	3061	20.0	20		True	kde_throw_outliers
CGG_mouse3	32a24d1a-ddbb-4a74-8857-8f3402a14d16	forward	120	-1297.037	-55.420999999999935	-25.68699999999989	2815	2877	2666	3027	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	bb4d0567-ed0e-4a3b-9899-29142588aab2	reverse	120	-1326.998	-82.26799999999992	-53.82600000000002	3600	3669	3450	3818	22.0	19		True	kde_throw_outliers
CGG_mouse3	f353c1c3-60fb-451d-9074-d25871f00a12	forward	120	-1287.599	-49.638000000000034	-25.10199999999997	2827	2889	2680	3040	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	bd067757-d963-4660-838a-5f10b48002cc	forward	120	-1315.161	-75.12099999999998	-24.948999999999955	2809	2868	2660	3017	20.0	20		True	kde_throw_outliers
CGG_mouse3	d778b08d-8572-49fa-821d-9ca99561c34f	reverse	120	-1307.279	-61.000999999999976	-25.38800000000004	3594	3656	3449	3805	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	d146a25d-98df-4874-a35b-5001f62ddfac	forward	120	-1302.411	-60.29099999999994	-22.736000000000104	2787	2837	2652	2985	17.0	1		True	kde_throw_outliers
CGG_mouse3	e7749a72-f7ee-4dd8-a23e-ae4b64c3ade2	forward	120	-1281.36	-49.63799999999992	-25.68599999999992	2837	2899	2690	3048	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	0af013a0-af79-4fc5-a414-a41b411f3097	forward	120	-1293.873	-49.673	-26.424999999999955	2849	2914	2700	3063	22.0	19		True	kde_throw_outliers
CGG_mouse3	05916d0e-eda3-4ee8-bd9d-f3b48ee24f26	reverse	120	-1301.07	-58.50999999999999	-25.38800000000004	3561	3623	3413	3773	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	07f1d329-2d9f-47aa-bb17-4e5012363701	reverse	112	-1365.164	-135.51999999999998	-47.70799999999997	3547	3613	3404	3762	22.0	19		True	kde_throw_outliers
CGG_mouse3	0e397bff-f547-46a3-95ca-66ce00be46df	forward	120	-1287.856	-43.65599999999995	-25.68699999999989	2820	2882	2671	3032	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	4628a33b-c86d-4e9d-af22-821dcd01244b	reverse	120	-1292.837	-48.10699999999997	-25.38900000000001	3570	3632	3421	3781	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	339b578a-9cf1-44b3-9a17-ebd91fb53cf7	reverse	120	-1315.959	-73.84000000000003	-25.38799999999992	3616	3678	3469	3826	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	690fce6d-592c-4a47-908f-15107e8bdc51	forward	120	-1307.337	-64.68700000000001	-25.68700000000001	2837	2899	2706	3051	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	d4575834-5055-45a4-8bd1-a773900ec02c	reverse	120	-1308.98	-64.25	-31.925000000000068	3554	3619	3405	3768	22.0	19		True	kde_throw_outliers
CGG_mouse3	c600bb5d-e9b4-4fa8-b6dd-6db593ee89b3	forward	120	-1288.1	-47.529	-25.686000000000035	2814	2876	2665	3025	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	6107fe4e-89c3-4700-907c-ddd8de6ed510	reverse	120	-1366.297	-134.57400000000007	-35.875	3599	3657	3441	3808	19.0	3		True	kde_throw_outliers
CGG_mouse3	55c1c58c-ab6e-44e3-8569-7578b23e6077	reverse	120	-1289.38	-48.80899999999997	-25.38900000000001	3590	3652	3440	3801	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	34e711e1-e9c3-4a6c-bdf4-90f72a0a6b0b	reverse	120	-1295.16	-52.50999999999999	-25.38800000000004	3576	3638	3427	3786	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	ec7158a8-75da-4a99-ba3d-162a94f3ea6c	reverse	120	-1311.247	-77.44600000000003	-37.12900000000002	3571	3636	3421	3788	22.0	19		True	kde_throw_outliers
CGG_mouse3	cf394019-9e13-4166-9f8a-32308fd3169b	forward	120	-1287.118	-43.44100000000003	-24.948999999999955	2819	2878	2670	3028	20.0	20		True	kde_throw_outliers
CGG_mouse3	f0bfcdef-4b57-4f2d-97ee-558e2defc78d	reverse	120	-1321.603	-78.95299999999997	-25.38900000000001	3615	3677	3467	3827	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	f62e279e-d618-48a3-b0fe-e47ba33fa594	reverse	120	-1327.771	-85.65099999999995	-36.75999999999999	3580	3645	3431	3792	22.0	19		True	kde_throw_outliers
CGG_mouse3	0f90d5d6-56e3-4b45-9c4f-21a494522b43	reverse	120	-1290.242	-54.36099999999999	-24.94799999999998	3568	3630	3419	3776	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	0a9e7403-0884-4e40-b488-2a3652773f6d	reverse	120	-1358.527	-122.115	-47.08100000000002	3590	3656	3439	3808	22.0	19		True	kde_throw_outliers
CGG_mouse3	213e59f9-e5cd-43f3-a5eb-0890803ab365	reverse	120	-1324.154	-82.16999999999996	-36.91899999999998	3576	3640	3424	3789	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	f6834e8c-8961-4ce5-a0e1-76b354f2c52b	forward	120	-1300.062	-60.02099999999996	-25.68699999999989	2851	2913	2700	3065	21.0	124	3.0	False	kde_throw_outliers
